code,name,details,priceCJ,pricePZ,imageUrl,offers
BL0268,CLORALEX REG 950ML,12 / 950 ML,190.22,15.85,https://i.postimg.cc/hj6rbz1Q/BL0268.jpg,OFERTA
BL0289,CLORALEX REG 950ML+1PINOL 500ML,12 / 950 ML,190.22,15.85,https://i.postimg.cc/jjjQpQ8J/bl0289.jpg,OFERTA
AB BL0299,CLORALEX REG 850ML+100ML,15 / 950 ML,212.48,14.17,https://i.postimg.cc/MK8068Pw/BL0299.jpg,OFERTA
AB BL0314,CLORALEX REG 500ML 20+2GRAT,22 / 500 ML,174.36,7.93,https://i.postimg.cc/vHxNDVrM/BL0314.jpg,OFERTA
BL0509,CLORALEX REG 250ML,30 / 250 ML,159.32,5.31,https://i.postimg.cc/4x2h9C5m/BL0509.jpg,OFERTA
BL0310,CLORALUZ 500ML,20 / 500 ML,122.65,6.13,https://i.postimg.cc/5tGvZcYZ/BL0310.jpg,OFERTA
BL0602,CLORALUZ 900 ML,12 / 900 ML,126.35,10.53,https://i.postimg.cc/qRytSNd3/BL0602.jpg,OFERTA
BL0292,CLOROX ANTI-SPLASH 930ML,15 / 930 ML,264.32,17.62,https://i.postimg.cc/HssTKhK3/BL0292.jpg,OFERTA
BL0182,CLOROX COLOR FLORAL 1.89LT,8 / 1.8 LT,433.74,54.22,https://i.postimg.cc/FH5yKXTm/BL0182.jpg,DISPONIBLE
AA BL0162,CLOROX MAGIA FLORAL 3.8LT,6 / 3.8 LT,244.78,40.8,https://i.postimg.cc/wvf5xtGb/BL0162.jpg,DISPONIBLE
AB BL0311,CLOROX MAX. PUREZA 1.16LT,15 / 1.1 LT,200.37,13.36,https://i.postimg.cc/zBgWNdT3/BL0311.jpg,OFERTA
AB BL0106,CLOROX MAX. PUREZA 500ML,20 / 500 ML,152.67,7.63,https://i.postimg.cc/PrB48wrg/BL0106.jpg,OFERTA
BL0405,CLOROX MAX. PUREZA 930ML,15 / 930 ML,205.91,13.73,https://i.postimg.cc/qqHKv8Gw/BL0405.jpg,OFERTA
BL0107,CLOROX ROPA COLOR 930ML,15 / 930 ML,448.49,29.9,https://i.postimg.cc/13wK038f/BL0107.jpg,OFERTA
BL0279,CLOROX ROPA COLOR  DUO 930ML,7 / 2 UNI,330.16,47.17,https://i.postimg.cc/yYFPcNgW/BL0279.jpg,OFERTA
BL0220,EL TIMON AZUL ,8 / 50 UNI,554.78,69.35,https://i.postimg.cc/14xq4DcM/BL0220.jpg,DISPONIBLE
BL0219,EL TIMON POLEGIA,30 / 200 GR,185.05,6.17,https://i.postimg.cc/T2KNLGJW/BL0219.jpg,DISPONIBLE
BP0243,ACT II PAL. EXTRA MANTEQUILLA,6 / 14 UNI,1004.61,167.44,https://i.postimg.cc/vZKcmrYn/BP0243.jpg,DISPONIBLE
BP0244,ACT II PAL. MANTEQUILLA,6 / 14 UNI,1004.61,167.44,https://i.postimg.cc/xdbqNX84/BP0244.jpg,DISPONIBLE
BP0252,ACT II PAL. QUESO JALAPEÑO,4 / 15 UNI,930.35,232.59,https://i.postimg.cc/J0KhCJYG/BP0252.jpg,DISPONIBLE
BP0256,ACT II PAL. INFERNO,4 / 15 UNI,930.35,232.59,https://i.postimg.cc/x1Xnjb9z/BP0256.jpg,DISPONIBLE
BP0264,ACT II PAL. QUESO EXTREMO,4 / 15 UNI,930.35,232.59,https://i.postimg.cc/jSDSBDHS/BP0264.jpg,DISPONIBLE
BR0202,BRILL. PALMOLIVE LIQUIDA 115ML,12 / 115 ML,616.19,51.35,https://i.postimg.cc/sD62nYZL/BR0202.jpg,OFERTA
